INFO | 03/08/2020 12:26:08 PM CleanedText object initialized using "40" as cleaning level
INFO | 03/08/2020 12:26:08 PM Cleaning up useless attributes to free memory
INFO | 03/08/2020 12:26:08 PM Counting words occurrences
INFO | 03/08/2020 12:26:24 PM Calculating words frequencies with occurrences normalized
INFO | 03/08/2020 12:26:24 PM AbstractText object initialized
INFO | 03/08/2020 12:26:24 PM Cleaning up useless attributes to free memory
INFO | 03/08/2020 12:26:24 PM Calculating words frequencies with occurrences normalized
INFO | 03/08/2020 12:26:24 PM File "dataset/Happiness/f5.txt" opened
INFO | 03/08/2020 12:26:24 PM File "dataset/Happiness/f5.txt" read
INFO | 03/08/2020 12:26:24 PM Counting words occurrences
INFO | 03/08/2020 12:27:13 PM Calculating words frequencies with occurrences normalized
INFO | 03/08/2020 12:27:13 PM RawText object initialized using text starting with "going..."
INFO | 03/08/2020 12:27:13 PM Cleaning text at level "40"
INFO | 03/08/2020 12:27:20 PM CleanedText object initialized using "40" as cleaning level
INFO | 03/08/2020 12:27:20 PM Cleaning up useless attributes to free memory
INFO | 03/08/2020 12:27:20 PM Counting words occurrences
INFO | 03/08/2020 12:27:40 PM Calculating words frequencies with occurrences normalized
INFO | 03/08/2020 12:27:40 PM AbstractText object initialized
INFO | 03/08/2020 12:27:40 PM Cleaning up useless attributes to free memory
INFO | 03/08/2020 12:27:40 PM Calculating words frequencies with occurrences normalized
INFO | 03/08/2020 12:27:40 PM File "dataset/Happiness/f6.txt" opened
INFO | 03/08/2020 12:27:40 PM File "dataset/Happiness/f6.txt" read
INFO | 03/08/2020 12:27:40 PM Counting words occurrences
INFO | 03/08/2020 12:28:32 PM Calculating words frequencies with occurrences normalized
INFO | 03/08/2020 12:28:32 PM RawText object initialized using text starting with "My fr..."
INFO | 03/08/2020 12:28:32 PM Cleaning text at level "40"
INFO | 03/08/2020 12:28:38 PM CleanedText object initialized using "40" as cleaning level
INFO | 03/08/2020 12:28:38 PM Cleaning up useless attributes to free memory
INFO | 03/08/2020 12:28:38 PM Counting words occurrences
INFO | 03/08/2020 12:28:58 PM Calculating words frequencies with occurrences normalized
INFO | 03/08/2020 12:28:58 PM AbstractText object initialized
INFO | 03/08/2020 12:28:58 PM Cleaning up useless attributes to free memory
INFO | 03/08/2020 12:28:58 PM Calculating words frequencies with occurrences normalized
INFO | 03/08/2020 12:28:58 PM File "dataset/Happiness/f7.txt" opened
INFO | 03/08/2020 12:28:58 PM File "dataset/Happiness/f7.txt" read
INFO | 03/08/2020 12:28:58 PM Counting words occurrences
INFO | 03/08/2020 12:29:43 PM Calculating words frequencies with occurrences normalized
INFO | 03/08/2020 12:29:43 PM RawText object initialized using text starting with "I had..."
INFO | 03/08/2020 12:29:43 PM Cleaning text at level "40"
INFO | 03/08/2020 12:29:48 PM CleanedText object initialized using "40" as cleaning level
INFO | 03/08/2020 12:29:48 PM Cleaning up useless attributes to free memory
INFO | 03/08/2020 12:29:48 PM Counting words occurrences
INFO | 03/08/2020 12:30:07 PM Calculating words frequencies with occurrences normalized
INFO | 03/08/2020 12:30:07 PM AbstractText object initialized
INFO | 03/08/2020 12:30:07 PM Cleaning up useless attributes to free memory
INFO | 03/08/2020 12:30:07 PM Calculating words frequencies with occurrences normalized
INFO | 03/08/2020 12:30:07 PM File "dataset/Happiness/f8.txt" opened
INFO | 03/08/2020 12:30:07 PM File "dataset/Happiness/f8.txt" read
INFO | 03/08/2020 12:30:07 PM Counting words occurrences
INFO | 03/08/2020 12:30:49 PM Calculating words frequencies with occurrences normalized
INFO | 03/08/2020 12:30:49 PM RawText object initialized using text starting with "when ..."
INFO | 03/08/2020 12:30:49 PM Cleaning text at level "40"
INFO | 03/08/2020 12:30:54 PM CleanedText object initialized using "40" as cleaning level
INFO | 03/08/2020 12:30:54 PM Cleaning up useless attributes to free memory
INFO | 03/08/2020 12:30:54 PM Counting words occurrences
INFO | 03/08/2020 12:31:12 PM Calculating words frequencies with occurrences normalized
INFO | 03/08/2020 12:31:12 PM AbstractText object initialized
INFO | 03/08/2020 12:31:12 PM Cleaning up useless attributes to free memory
INFO | 03/08/2020 12:31:12 PM Calculating words frequencies with occurrences normalized
INFO | 03/08/2020 12:31:12 PM File "dataset/Happiness/f9.txt" opened
INFO | 03/08/2020 12:31:12 PM File "dataset/Happiness/f9.txt" read
INFO | 03/08/2020 12:31:12 PM Counting words occurrences
INFO | 03/08/2020 12:31:52 PM Calculating words frequencies with occurrences normalized
INFO | 03/08/2020 12:31:52 PM RawText object initialized using text starting with "I wen..."
INFO | 03/08/2020 12:31:52 PM Cleaning text at level "40"
INFO | 03/08/2020 12:31:57 PM CleanedText object initialized using "40" as cleaning level
INFO | 03/08/2020 12:31:57 PM Cleaning up useless attributes to free memory
INFO | 03/08/2020 12:31:57 PM Counting words occurrences
INFO | 03/08/2020 12:32:14 PM Calculating words frequencies with occurrences normalized
INFO | 03/08/2020 12:32:14 PM AbstractText object initialized
INFO | 03/08/2020 12:32:14 PM Cleaning up useless attributes to free memory
INFO | 03/08/2020 12:32:14 PM Calculating words frequencies with occurrences normalized
INFO | 03/08/2020 12:32:15 PM Training finished for happiness vocabulary
