INFO | 03/10/2020 07:29:45 PM Counting words occurrences
INFO | 03/10/2020 07:30:07 PM Calculating words frequencies with occurrences normalized
INFO | 03/10/2020 07:30:07 PM AbstractText object initialized
INFO | 03/10/2020 07:30:07 PM Cleaning up useless attributes to free memory
INFO | 03/10/2020 07:30:07 PM Calculating words frequencies with occurrences normalized
INFO | 03/10/2020 07:30:07 PM File "dataset/Sadness/xam" opened
INFO | 03/10/2020 07:30:07 PM File "dataset/Sadness/xam" read
INFO | 03/10/2020 07:30:07 PM RawText object initialized using text starting with "i am ..."
INFO | 03/10/2020 07:30:07 PM Cleaning text at level "50"
INFO | 03/10/2020 07:30:16 PM CleanedText object initialized using "50" as cleaning level
INFO | 03/10/2020 07:30:16 PM Cleaning up useless attributes to free memory
INFO | 03/10/2020 07:30:16 PM Counting words occurrences
INFO | 03/10/2020 07:30:38 PM Calculating words frequencies with occurrences normalized
INFO | 03/10/2020 07:30:38 PM AbstractText object initialized
INFO | 03/10/2020 07:30:38 PM Cleaning up useless attributes to free memory
INFO | 03/10/2020 07:30:38 PM Calculating words frequencies with occurrences normalized
INFO | 03/10/2020 07:30:38 PM File "dataset/Sadness/xan" opened
INFO | 03/10/2020 07:30:38 PM File "dataset/Sadness/xan" read
INFO | 03/10/2020 07:30:38 PM RawText object initialized using text starting with "i go ..."
INFO | 03/10/2020 07:30:38 PM Cleaning text at level "50"
INFO | 03/10/2020 07:30:46 PM CleanedText object initialized using "50" as cleaning level
INFO | 03/10/2020 07:30:46 PM Cleaning up useless attributes to free memory
INFO | 03/10/2020 07:30:46 PM Counting words occurrences
INFO | 03/10/2020 07:31:05 PM Calculating words frequencies with occurrences normalized
INFO | 03/10/2020 07:31:05 PM AbstractText object initialized
INFO | 03/10/2020 07:31:05 PM Cleaning up useless attributes to free memory
INFO | 03/10/2020 07:31:05 PM Calculating words frequencies with occurrences normalized
INFO | 03/10/2020 07:31:05 PM File "dataset/Sadness/xao" opened
INFO | 03/10/2020 07:31:05 PM File "dataset/Sadness/xao" read
INFO | 03/10/2020 07:31:05 PM RawText object initialized using text starting with "i sup..."
INFO | 03/10/2020 07:31:05 PM Cleaning text at level "50"
INFO | 03/10/2020 07:31:18 PM CleanedText object initialized using "50" as cleaning level
INFO | 03/10/2020 07:31:18 PM Cleaning up useless attributes to free memory
INFO | 03/10/2020 07:31:18 PM Counting words occurrences
INFO | 03/10/2020 07:31:37 PM Calculating words frequencies with occurrences normalized
INFO | 03/10/2020 07:31:37 PM AbstractText object initialized
INFO | 03/10/2020 07:31:37 PM Cleaning up useless attributes to free memory
INFO | 03/10/2020 07:31:37 PM Calculating words frequencies with occurrences normalized
INFO | 03/10/2020 07:31:37 PM File "dataset/Sadness/xap" opened
INFO | 03/10/2020 07:31:37 PM File "dataset/Sadness/xap" read
INFO | 03/10/2020 07:31:38 PM RawText object initialized using text starting with "i sai..."
INFO | 03/10/2020 07:31:38 PM Cleaning text at level "50"
INFO | 03/10/2020 07:31:44 PM CleanedText object initialized using "50" as cleaning level
INFO | 03/10/2020 07:31:44 PM Cleaning up useless attributes to free memory
INFO | 03/10/2020 07:31:44 PM Counting words occurrences
INFO | 03/10/2020 07:32:01 PM Calculating words frequencies with occurrences normalized
INFO | 03/10/2020 07:32:01 PM AbstractText object initialized
INFO | 03/10/2020 07:32:01 PM Cleaning up useless attributes to free memory
INFO | 03/10/2020 07:32:01 PM Calculating words frequencies with occurrences normalized
INFO | 03/10/2020 07:34:12 PM Training finished for sadness vocabulary
